parallel,f_name,n_dims,min_found,n_iters,exec_time,
False,rastrigin,10,0.0,1000,2.7433109283447266,
False,rastrigin,10,0.0,1000,2.7229366302490234,
False,rastrigin,10,0.0,1000,2.8245363235473633,
False,rastrigin,10,0.0,1000,2.868009567260742,
False,rastrigin,10,0.0,1000,2.7043044567108154,
False,rastrigin,10,0.0,1000,2.6395487785339355,
False,rastrigin,10,0.0,1000,3.3181846141815186,
False,rastrigin,20,0.0,1000,2.67096209526062,
False,rastrigin,20,0.0,1000,2.7137858867645264,
False,rastrigin,20,0.0,1000,2.6537692546844482,
False,rastrigin,20,0.0,1000,2.689723014831543,
False,rastrigin,20,0.0,1000,2.6732254028320312,
False,rastrigin,20,0.0,1000,2.7446129322052,
False,rastrigin,20,0.0,1000,2.6921656131744385,
False,rastrigin,20,0.0,1000,2.645275354385376,
False,rastrigin,20,0.0,1000,2.7810280323028564,
False,rastrigin,20,0.0,1000,2.815769672393799,
False,rastrigin,20,0.0,1000,2.695880174636841,
False,rastrigin,20,0.0,1000,2.674731969833374,
False,rastrigin,20,0.0,1000,2.7794570922851562,
False,rastrigin,20,0.0,1000,2.6980042457580566,
False,rastrigin,20,0.0,1000,2.700392007827759,
False,rastrigin,20,0.0,1000,2.740649461746216,
False,rastrigin,20,0.0,1000,2.6572084426879883,
False,rastrigin,20,0.0,1000,2.6482725143432617,
False,rastrigin,20,0.0,1000,2.700456142425537,
False,rastrigin,20,0.0,1000,2.692753314971924,
False,rastrigin,20,0.0,1000,2.7641098499298096,
False,rastrigin,20,0.0,1000,3.088859796524048,
False,rastrigin,20,0.0,1000,2.7313232421875,
False,rastrigin,20,0.0,1000,2.8454365730285645,
False,rastrigin,20,0.0,1000,2.7637414932250977,
False,rastrigin,20,0.0,1000,2.6755151748657227,
False,rastrigin,20,0.0,1000,2.720412254333496,
False,rastrigin,20,0.0,1000,2.698923349380493,
False,rastrigin,20,0.0,1000,2.692770481109619,
False,rastrigin,20,0.0,1000,2.6889805793762207,
False,rastrigin,30,0.0,1000,2.6752068996429443,
False,rastrigin,30,0.0,1000,2.662061929702759,
False,rastrigin,30,0.0,1000,2.7733817100524902,
False,rastrigin,30,0.0,1000,2.7621498107910156,
False,rastrigin,30,0.0,1000,2.682873010635376,
False,rastrigin,30,0.0,1000,2.629472494125366,
False,rastrigin,30,0.0,1000,2.7032108306884766,
